week,age,diet,weight,eggs
0,147,A,3106.2,4
0,157,A,2891.7,5
0,163,A,2958.3,4
0,145,A,3188.7,5
0,162,A,3491.7,5
0,167,A,3050.2,5
0,148,A,3185.7,5
0,166,A,2683.9,4
0,135,A,2971.8,4
0,165,A,3166.8,5
0,195,B,3089.5,5
0,187,B,2946.6,4
0,178,B,2690.3,4
0,189,B,2893.7,4
0,167,B,3120.9,4
0,161,B,3087.0,4
0,190,B,3189.6,5
0,163,B,3053.2,5
0,155,B,2696.8,5
0,184,B,2861.0,4
0,164,C,3370.3,5
0,170,C,3622.3,4
0,184,C,2832.1,5
0,152,C,3257.5,4
0,193,C,2915.5,4
0,190,C,2383.3,5
0,154,C,3155.6,5
0,158,C,2700.7,4
0,171,C,3056.5,5
0,188,C,3251.1,5
2,149,A,3200.1,5
2,159,A,2979.1,5
2,165,A,3047.7,5
2,147,A,3285.0,4
2,164,A,3597.3,4
2,169,A,3142.4,4
2,150,A,3282.0,5
2,168,A,2765.1,4
2,137,A,3061.6,4
2,167,A,3262.6,5
2,197,B,3157.8,4
2,189,B,3011.8,3
2,180,B,2749.9,4
2,191,B,2957.7,3
2,169,B,3189.9,5
2,163,B,3155.3,4
2,192,B,3260.2,3
2,165,B,3120.8,4
2,157,B,2756.5,5
2,186,B,2924.2,3
2,166,C,3438.0,5
2,172,C,3695.1,5
2,186,C,2889.1,4
2,154,C,3322.9,4
2,195,C,2974.1,4
2,192,C,2431.2,4
2,156,C,3219.1,4
2,160,C,2754.9,4
2,173,C,3117.9,5
2,190,C,3316.4,3
4,151,A,3296.8,5
4,161,A,3069.2,5
4,167,A,3139.8,4
4,149,A,3384.3,4
4,166,A,3706.0,4
4,171,A,3237.3,5
4,152,A,3381.2,5
4,170,A,2848.6,5
4,139,A,3154.2,4
4,169,A,3361.2,5
4,199,B,3227.7,4
4,191,B,3078.4,3
4,182,B,2810.7,5
4,193,B,3023.1,4
4,171,B,3260.5,5
4,165,B,3225.1,4
4,194,B,3332.3,4
4,167,B,3189.8,5
4,159,B,2817.5,5
4,188,B,2988.9,3
4,168,C,3507.1,5
4,174,C,3769.4,5
4,188,C,2947.1,3
4,156,C,3389.7,5
4,197,C,3033.9,3
4,194,C,2480.1,4
4,158,C,3283.8,4
4,162,C,2810.3,4
4,175,C,3180.6,4
4,192,C,3383.1,3
6,153,A,3396.4,4
6,163,A,3161.9,5
6,169,A,3234.7,5
6,151,A,3486.6,4
6,168,A,3818.0,4
6,173,A,3335.2,4
6,154,A,3483.4,4
6,172,A,2934.7,5
6,141,A,3249.5,4
6,171,A,3462.8,5
6,201,B,3299.1,3
